ID,Gender,Ever_Married,Age,Graduated,Profession,Work_Experience,Spending_Score,Family_Size
462044,Female,No,47,Yes,Artist,4,Low,1
465686,Female,No,22,No,Healthcare,0,Low,2
464590,Female,No,27,Yes,Artist,14,Low,3
466006,Female,Yes,49,Yes,Artist,1,Low,2
466152,Male,Yes,40,No,Engineer,8,Low,1
463156,Female,Yes,79,No,Lawyer,,High,2
465729,Male,Yes,41,Yes,Artist,0,Average,4
462384,Female,No,29,Yes,Healthcare,,Low,1
462442,Male,No,19,No,Healthcare,0,Low,4
464191,Female,No,45,Yes,Engineer,1,Low,1
462078,Female,Yes,61,No,Artist,1,Average,2
467873,Female,Yes,36,Yes,Artist,1,Average,2
461270,Male,Yes,40,Yes,Artist,1,Low,1
462960,Female,Yes,57,Yes,Entertainment,0,Average,2
464961,Male,Yes,76,No,Marketing,1,Low,1
462110,Male,Yes,32,Yes,Artist,14,Average,2
465769,Male,No,25,Yes,Healthcare,9,Low,4
462267,Male,No,32,,Doctor,8,Low,2
465269,Female,Yes,45,Yes,Artist,1,Average,3
460881,Male,Yes,72,Yes,Lawyer,1,Low,
461891,Male,Yes,48,Yes,Artist,0,Average,2
466935,Male,Yes,55,Yes,Artist,9,Average,2
464091,Male,Yes,74,Yes,Lawyer,0,High,3
464535,Male,Yes,56,Yes,Lawyer,1,High,2
463108,Male,Yes,59,Yes,Lawyer,7,High,2
461356,Male,No,25,Yes,Entertainment,0,Low,2
464570,Male,Yes,31,Yes,Doctor,0,Average,2
464580,Male,No,27,No,Artist,8,Low,4
465233,Male,Yes,57,Yes,Artist,0,Average,4
467208,Female,Yes,39,Yes,Homemaker,,High,2
459954,Male,Yes,27,Yes,Healthcare,8,Low,2
460219,Female,Yes,51,Yes,Entertainment,8,Average,2
460877,Female,Yes,47,No,Artist,0,Average,5
460191,Female,No,33,No,Healthcare,8,Low,4
463742,Male,Yes,56,Yes,Artist,0,Average,4
463691,Female,No,33,No,Homemaker,0,Low,3
463250,Female,No,36,Yes,Doctor,0,Low,2
463952,Male,Yes,51,No,Artist,4,Low,3
461558,Male,Yes,45,Yes,Engineer,2,Average,2
466567,Female,No,49,Yes,,1,Low,1
465379,Male,No,30,No,Healthcare,0,Low,4
463814,Female,No,26,No,Healthcare,6,Low,3
466938,Male,Yes,63,Yes,Artist,8,Low,1
460671,Male,Yes,35,No,Entertainment,8,Average,4
462204,Female,No,19,No,Marketing,1,Low,3
461671,Male,No,32,No,Healthcare,7,Low,5
459384,Male,Yes,52,Yes,Artist,0,Average,3
459905,Female,Yes,36,Yes,Artist,5,Low,2
464734,Female,No,42,No,Entertainment,7,Low,3
464125,Male,Yes,40,No,Doctor,0,Average,2
467434,Male,No,39,Yes,Entertainment,0,Low,3
460956,Female,Yes,47,Yes,Artist,1,Average,4
465179,Female,Yes,61,Yes,Artist,1,High,2
463338,Male,Yes,32,No,Entertainment,1,Low,2
467066,Male,Yes,55,No,Artist,0,Low,1
463845,Male,Yes,58,Yes,Artist,,Average,1
459976,Female,No,38,Yes,Artist,0,Low,1
461334,Male,Yes,63,Yes,Artist,0,High,2
465108,Male,Yes,58,Yes,Doctor,1,Average,2
462600,Male,Yes,30,No,Engineer,3,Average,3
464144,Male,Yes,60,Yes,Artist,0,Average,4
466911,Male,Yes,68,No,Executive,1,High,7
462806,Male,Yes,52,No,Artist,0,Low,3
463426,Male,Yes,38,No,Executive,0,High,5
464065,Female,Yes,35,Yes,Healthcare,10,Low,2
462979,Male,No,18,No,Doctor,1,Low,2
462834,Male,Yes,30,Yes,Homemaker,3,Low,2
460764,Male,No,86,No,Lawyer,1,Low,1
466466,Female,,19,No,Healthcare,6,Low,5
460185,Male,No,25,No,Healthcare,9,Low,3
459749,Male,Yes,59,Yes,Entertainment,,Low,4
464406,Female,No,39,Yes,Artist,0,Low,1
467758,Female,Yes,50,Yes,Doctor,1,Low,
462059,Male,No,47,Yes,Artist,1,Low,1
467905,Male,Yes,43,Yes,Executive,0,High,3
461177,Male,Yes,36,No,Executive,8,Average,4
460765,Male,Yes,80,No,Lawyer,1,Low,1
465386,Male,No,36,Yes,Artist,0,Low,2
465827,Male,No,27,No,,2,Low,7
462332,Female,Yes,37,Yes,Artist,1,High,2
464481,Male,Yes,46,Yes,Executive,0,High,3
461011,Male,Yes,55,No,Executive,1,High,4
464749,Female,Yes,47,No,Engineer,9,Average,4
461094,Female,No,28,Yes,Healthcare,1,Low,3
462104,Male,Yes,39,No,Entertainment,9,Low,2
464524,Female,Yes,27,No,Marketing,1,Low,2
466295,Female,Yes,42,No,Engineer,0,Low,
461787,Male,Yes,72,Yes,Artist,0,Average,2
467857,Female,Yes,28,Yes,Engineer,0,Low,2
460153,Male,No,35,Yes,Entertainment,8,Low,5
465215,Male,Yes,39,Yes,Executive,9,High,5
466746,Female,Yes,69,Yes,Lawyer,0,High,2
464857,Male,No,18,No,Healthcare,6,Low,4
459478,Male,Yes,46,Yes,Artist,,Low,1
460723,Female,Yes,50,Yes,Engineer,1,High,2
459853,Male,No,30,No,Executive,5,Low,5
459390,Female,No,41,No,Artist,,Low,2
460410,Female,No,39,Yes,Artist,3,Low,4
463823,Female,No,29,No,Marketing,8,Low,4
462008,Female,Yes,37,Yes,Artist,4,Low,4
459750,Female,Yes,39,Yes,Engineer,0,Average,2
459880,Female,Yes,48,Yes,Artist,0,Average,5
459261,Female,No,32,Yes,Doctor,0,Low,3
465656,Male,Yes,78,No,Lawyer,1,Low,
465395,Female,Yes,43,No,Engineer,0,Average,5
461631,Male,No,29,No,Marketing,8,Low,5
464904,Female,Yes,28,No,Engineer,9,Average,2
461740,Male,Yes,80,Yes,Lawyer,1,Low,1
467092,Female,No,28,Yes,Healthcare,7,Low,4
464173,Male,Yes,71,Yes,Artist,6,Average,3
464972,Male,Yes,67,No,Lawyer,0,High,9
467959,Female,No,26,No,Engineer,0,Low,1
467688,Female,Yes,47,Yes,Engineer,0,Average,2
460043,Female,Yes,43,Yes,Artist,2,Average,2
466590,Female,No,27,Yes,Healthcare,0,Low,4
461191,Female,Yes,45,Yes,Marketing,8,Low,4
465662,Male,Yes,76,No,Executive,1,Low,1
459231,Female,Yes,43,Yes,Artist,3,Average,4
466495,Female,Yes,78,Yes,Lawyer,1,High,2
459192,Male,Yes,35,Yes,Artist,3,Average,3
465710,Female,No,49,Yes,Artist,1,Low,1
460258,Female,No,25,Yes,Healthcare,1,Low,5
462813,Male,Yes,37,No,Executive,0,Average,5
463595,Female,No,32,No,Healthcare,1,Low,5
467768,Male,Yes,60,Yes,Doctor,0,Average,2
465291,Female,Yes,45,Yes,Artist,5,Average,3
462996,Female,Yes,49,Yes,Homemaker,9,Average,3
463497,Male,No,32,Yes,Artist,0,Low,5
465301,Female,Yes,40,Yes,Artist,0,Low,3
464702,Male,Yes,59,No,Artist,2,Average,2
459012,Male,Yes,48,Yes,Artist,3,Low,5
465053,Male,Yes,82,Yes,Executive,0,High,2
459420,Female,Yes,70,Yes,Lawyer,0,Low,2
464166,Male,No,31,Yes,Artist,5,Low,2
458987,Female,Yes,72,Yes,Lawyer,0,High,2
467745,Male,Yes,50,Yes,Artist,3,Average,4
464866,Female,No,23,No,Engineer,11,Low,1
461081,Female,No,20,No,Healthcare,2,Low,6
467896,Female,No,22,No,Healthcare,4,Low,3
463991,Female,No,31,Yes,Engineer,8,Low,1
466620,Female,Yes,36,Yes,Artist,7,Average,2
462594,Male,Yes,52,No,Entertainment,,Average,5
462206,Female,No,29,Yes,Artist,,Low,1
460697,Male,Yes,40,Yes,Artist,4,Average,4
467934,Female,No,40,Yes,Artist,1,Low,1
460054,Male,Yes,38,Yes,Artist,,Low,2
459576,Female,Yes,85,No,Lawyer,,Low,
467910,Female,No,21,No,Doctor,1,Low,3
467335,Female,Yes,41,No,Engineer,4,Average,2
460263,Male,Yes,40,Yes,Artist,0,Low,2
459340,Male,Yes,53,Yes,Artist,1,Average,3
465622,Female,Yes,42,Yes,Artist,5,Low,2
459395,Male,Yes,42,No,Executive,8,Low,2
467539,Male,Yes,48,Yes,Artist,,Average,4
466574,Male,Yes,59,Yes,Artist,7,Low,2
466544,Male,Yes,41,Yes,Executive,1,Average,3
463610,Female,Yes,31,Yes,Artist,0,Average,2
465539,Female,Yes,49,Yes,Artist,1,High,5
459823,Male,Yes,67,Yes,Executive,1,Low,2
467614,Male,Yes,35,No,Artist,4,Average,2
459073,Female,No,26,Yes,Healthcare,0,Low,3
466065,Male,,19,No,Healthcare,9,Low,3
464863,Female,Yes,25,No,Engineer,6,Average,8
460022,Female,Yes,39,Yes,Healthcare,4,Low,2
459929,Male,Yes,63,Yes,Entertainment,0,Low,2
466613,Male,No,23,No,Healthcare,8,Low,3
461149,Female,No,23,No,Healthcare,0,Low,3
466068,Female,Yes,53,Yes,Artist,2,Low,1
461513,Male,No,33,Yes,Doctor,0,Low,2
464761,Female,Yes,50,No,Engineer,,Average,4
466236,Female,Yes,69,Yes,Engineer,0,Low,2
459664,Male,No,37,Yes,Artist,2,Low,1
461967,Female,No,20,No,Marketing,3,Low,4
460516,Female,,85,No,Lawyer,0,High,1
461710,Female,Yes,49,Yes,Doctor,1,Average,4
462742,Male,No,18,No,Healthcare,0,Low,3
459528,Female,Yes,52,Yes,Doctor,0,Average,2
462691,Male,Yes,25,No,Doctor,,Average,2
462934,Male,Yes,56,No,Executive,,High,2
465837,Male,No,62,Yes,,0,Low,1
464613,Female,No,35,,Artist,0,Low,3
467515,Male,Yes,28,Yes,Engineer,0,Average,2
463429,Female,No,28,Yes,Artist,7,Low,3
464024,Male,No,20,No,Healthcare,0,Low,5
460691,Female,No,27,No,Homemaker,8,Low,1
461825,Female,No,56,No,Engineer,,Low,1
467271,Male,Yes,45,Yes,Artist,4,Average,4
465634,Male,No,25,Yes,Healthcare,1,Low,4
464801,Male,No,40,No,Marketing,1,Low,1
459429,Female,Yes,25,Yes,Healthcare,,Low,2
459888,Female,Yes,74,No,Lawyer,,High,2
463467,Female,No,23,No,Healthcare,0,Low,4
462036,Female,Yes,67,Yes,Lawyer,0,High,2
461282,Male,No,21,No,Healthcare,0,Low,4
460448,Female,No,38,Yes,Artist,9,Low,1
464464,Male,No,28,No,Healthcare,0,Low,4
462410,Female,No,32,No,Healthcare,1,Low,5
467252,Female,No,33,Yes,,0,Low,4
459756,Female,Yes,56,No,Lawyer,1,High,4
463789,Female,Yes,53,Yes,Artist,1,Low,2
466947,Male,Yes,57,No,Executive,1,High,5
464150,Female,Yes,59,Yes,Artist,0,Average,3
465693,Female,Yes,25,Yes,Healthcare,1,High,4
461670,Male,Yes,59,Yes,Artist,0,Average,6
466768,Female,Yes,36,Yes,Artist,0,Low,4
461550,Male,Yes,37,Yes,Entertainment,7,Low,2
462438,Male,No,22,No,Doctor,1,Low,3
460704,Male,Yes,43,Yes,Artist,1,Low,2
464884,Male,Yes,41,Yes,Artist,1,Low,2
467050,Female,No,21,No,Engineer,0,Low,5
460738,Female,No,49,No,Engineer,1,Low,
466176,Male,No,38,Yes,Doctor,8,Low,1
459488,Male,Yes,47,No,Artist,,Average,4
467773,Male,Yes,70,Yes,Lawyer,1,High,3
465425,Female,No,31,No,Engineer,1,Low,4
462318,Female,Yes,82,No,Lawyer,0,Average,2
466078,Female,Yes,51,No,Executive,,Low,1
460792,Female,No,42,No,Homemaker,11,Low,
460197,Male,No,38,Yes,Artist,8,Low,3
459375,Male,Yes,18,No,Executive,0,High,4
463862,Male,Yes,50,Yes,Artist,6,Average,3
460144,Female,No,46,Yes,Doctor,1,Low,
462721,Female,Yes,72,No,Lawyer,1,High,3
459637,Female,No,33,No,Engineer,,Low,4
465809,Female,No,25,No,Homemaker,1,Low,7
466915,Female,Yes,75,No,Entertainment,2,High,2
467343,Male,No,72,Yes,Artist,1,Low,1
466268,Female,Yes,72,Yes,Artist,0,Average,3
464868,Male,Yes,36,Yes,Entertainment,6,Low,6
464038,Male,Yes,40,Yes,Artist,1,Low,2
460176,Female,No,28,Yes,Entertainment,0,Low,4
462161,Female,No,28,Yes,Doctor,0,Low,3
464841,Male,,19,No,Entertainment,0,High,3
464893,Male,Yes,43,Yes,Artist,0,Low,2
464443,Female,Yes,35,Yes,Artist,1,Average,2
467619,Male,Yes,65,Yes,Lawyer,1,High,2
465974,Male,Yes,52,Yes,Executive,7,High,4
462075,Female,No,40,Yes,Artist,1,Low,1
459494,Female,Yes,69,No,Engineer,9,Low,3
466921,Female,No,22,No,Healthcare,3,Low,3
463544,Male,Yes,47,Yes,Executive,1,Average,4
461167,Male,Yes,29,Yes,Marketing,1,High,2
467364,Male,Yes,46,Yes,Artist,1,Average,3
462408,Male,No,32,Yes,Artist,1,Low,2
466224,Female,No,38,Yes,Healthcare,0,Low,1
465151,Male,Yes,59,Yes,Artist,0,Low,1
467216,Female,No,26,Yes,Entertainment,1,Low,1
460586,Male,No,26,Yes,Healthcare,1,Low,2
461197,Male,No,28,No,Marketing,0,Low,1
462776,Female,Yes,53,Yes,Engineer,1,Average,3
465058,Female,No,43,,Entertainment,,Low,1
464088,Male,No,27,No,Doctor,1,Low,3
459471,Female,No,32,No,Artist,,Low,8
464695,Male,No,26,No,Engineer,0,Low,4
462331,Female,No,31,No,Entertainment,0,Low,2
466523,Male,Yes,39,Yes,Executive,1,High,3
465337,Female,Yes,43,No,Engineer,1,Low,3
460834,Male,Yes,25,No,Doctor,1,Low,2
466824,Male,Yes,40,Yes,Artist,3,High,3
461607,Female,Yes,40,Yes,Entertainment,7,Average,2
465091,Male,Yes,63,Yes,Entertainment,,Average,3
459532,Female,Yes,27,Yes,Healthcare,,Low,2
466999,Male,No,27,Yes,Healthcare,1,Low,3
466597,Female,No,19,No,Healthcare,1,Low,2
464075,Female,Yes,86,Yes,Lawyer,0,High,2
463394,Male,Yes,41,Yes,Marketing,,High,2
462163,Female,Yes,27,Yes,Artist,4,Average,2
463895,Female,Yes,70,No,Doctor,0,Average,2
464767,Female,Yes,53,No,Engineer,8,Average,4
464763,Female,Yes,49,No,Engineer,,Average,4
460718,Male,Yes,55,No,Executive,3,Low,
461989,Female,,57,Yes,Engineer,0,Average,4
466374,Male,Yes,83,No,Lawyer,,Low,1
463738,Male,Yes,43,No,Executive,0,High,4
465967,Male,Yes,36,No,Doctor,6,Low,3
462260,Male,Yes,74,Yes,Lawyer,0,Low,2
467234,Female,No,30,No,Homemaker,0,Low,4
466573,Female,No,37,Yes,Artist,5,Low,2
463229,Female,No,22,No,Marketing,0,Low,1
459768,Male,No,19,No,Healthcare,0,Low,4
462541,Male,Yes,70,Yes,Engineer,4,High,2
467714,Male,Yes,89,Yes,Lawyer,13,Low,1
467730,Male,No,18,No,Healthcare,,Low,4
459474,Male,No,25,Yes,Doctor,6,Low,1
460093,Female,No,45,Yes,Artist,4,Low,1
467865,Female,No,35,Yes,Artist,3,Low,1
465758,Female,Yes,37,No,Engineer,7,Low,1
464184,Female,Yes,39,No,Engineer,4,Average,2
462618,Female,No,32,Yes,Healthcare,1,Low,5
464226,Female,Yes,62,Yes,Artist,2,Average,3
465432,Female,Yes,58,Yes,Engineer,0,Average,4
464087,Female,No,32,No,Engineer,,Low,4
466627,Male,No,25,No,Healthcare,0,Low,5
467380,Female,Yes,56,Yes,Artist,0,Average,4
465842,Female,No,36,Yes,Entertainment,10,Low,2
464622,Female,No,30,No,Healthcare,8,Low,3
462083,Male,No,19,No,Healthcare,1,Low,5
460910,Male,No,27,Yes,Healthcare,0,Low,2
460255,Female,No,38,Yes,Doctor,14,Low,1
460109,Male,Yes,46,Yes,Artist,8,Average,2
464306,Male,No,29,Yes,Artist,3,Low,1
466835,Male,Yes,51,No,Entertainment,1,Average,4
465192,Male,Yes,55,No,Artist,0,Low,1
463380,Female,Yes,69,Yes,Engineer,1,Low,1
462391,Female,No,26,No,Healthcare,1,Low,8
467086,Female,Yes,83,Yes,Lawyer,0,Low,3
460306,Female,No,39,Yes,Healthcare,9,Low,1
460752,Male,Yes,35,Yes,Artist,9,Low,1
467264,Male,Yes,19,No,Marketing,2,High,5
461646,Female,Yes,60,Yes,Artist,,High,4
463570,Male,Yes,35,Yes,Artist,,Average,4
465277,Female,No,53,Yes,Engineer,,Low,1
467426,Female,Yes,86,No,Lawyer,,Low,
466258,Female,No,29,No,Healthcare,1,Low,3
463719,Female,No,26,No,Doctor,0,Low,1
460032,Male,No,36,Yes,Engineer,8,Low,1
465175,Female,No,22,No,Homemaker,0,Low,4
466610,Male,No,19,No,Marketing,0,Low,5
459036,Female,Yes,20,Yes,Lawyer,1,Average,3
464047,Male,No,43,Yes,Healthcare,3,Low,3
459496,Female,No,42,Yes,Artist,,Low,3
459997,Male,No,43,Yes,Entertainment,1,Low,2
463382,Female,Yes,50,Yes,Engineer,4,High,3
460967,Male,No,25,Yes,Entertainment,1,Low,2
465094,Male,Yes,61,No,Artist,1,High,2
461229,Female,Yes,28,Yes,Healthcare,0,Average,2
466442,Male,No,38,Yes,Artist,1,Low,1
464527,Male,No,25,No,Executive,12,Low,3
463560,Female,No,18,No,Healthcare,9,Low,5
460011,Male,Yes,43,Yes,Entertainment,1,Average,5
467207,Female,No,27,Yes,Artist,8,Low,1
465177,Female,No,60,Yes,Entertainment,1,Low,2
467531,Male,Yes,75,Yes,Lawyer,2,Low,1
465409,Female,No,31,No,Doctor,,Low,4
462842,Male,No,23,No,Doctor,6,Low,4
462124,Male,No,36,Yes,Artist,8,Low,1
466265,Male,No,30,No,Doctor,1,Low,1
459789,Male,Yes,56,No,Artist,1,Average,2
464223,Female,Yes,52,Yes,Artist,2,Low,2
460280,Male,Yes,39,Yes,Entertainment,0,Low,1
460331,Female,No,35,No,Artist,5,Low,1
461494,Male,Yes,33,No,Engineer,0,Average,2
460035,Female,No,25,Yes,Artist,0,Low,6
463812,Female,Yes,27,Yes,Artist,0,Average,2
465569,Male,Yes,35,Yes,Artist,1,High,3
466333,Female,Yes,41,Yes,Artist,1,Average,2
467668,Female,Yes,49,Yes,Artist,,Average,3
462723,Female,Yes,46,No,Artist,8,Average,2
460909,Female,No,31,No,Healthcare,,Low,2
467777,Male,No,49,Yes,Doctor,,Low,1
462404,Female,No,26,Yes,Artist,9,Low,1
461799,Male,Yes,43,Yes,Doctor,13,High,2
459933,Female,Yes,30,Yes,Artist,8,Low,4
463717,Female,Yes,70,Yes,Artist,1,Average,4
463652,Female,No,28,Yes,Artist,,Low,1
462149,Female,Yes,89,No,Lawyer,3,High,1
462769,Female,Yes,42,No,Homemaker,6,High,4
465532,Female,Yes,37,Yes,Entertainment,6,Average,3
462829,Male,Yes,29,No,Executive,1,Average,3
459210,Female,Yes,68,Yes,Artist,1,High,2
464659,Female,No,25,No,Engineer,1,Low,1
461411,Male,No,29,No,Healthcare,1,Low,
467759,Female,Yes,48,Yes,Doctor,0,Low,2
461475,Female,Yes,51,Yes,Doctor,1,Average,3
462714,Female,Yes,40,Yes,Engineer,1,High,5
466890,Male,Yes,47,Yes,Artist,0,Average,6
462888,Male,Yes,39,Yes,Executive,,High,3
467479,Male,Yes,35,Yes,Executive,1,Average,4
466799,Female,No,19,No,Healthcare,2,Low,3
466557,Female,No,21,No,Healthcare,7,Low,
460873,Male,Yes,46,Yes,Entertainment,0,Average,3
466776,Male,Yes,86,Yes,Lawyer,0,Low,1
459462,Male,Yes,66,Yes,Artist,0,High,2
465727,Male,No,42,No,Marketing,1,Low,5
462348,Female,Yes,73,Yes,Lawyer,1,High,2
460941,Male,Yes,72,No,Engineer,1,Low,1
461629,Male,Yes,53,Yes,Artist,0,Low,3
459907,Female,Yes,39,Yes,Artist,8,Average,2
467146,Female,No,27,No,Homemaker,9,Low,1
460916,Male,Yes,63,No,Entertainment,1,Average,
459196,Female,No,23,No,Healthcare,1,Low,3
465444,Female,No,30,Yes,Entertainment,0,Low,4
464186,Female,Yes,39,Yes,Artist,5,Average,2
466412,Male,Yes,26,Yes,Artist,1,Average,3
459480,Female,Yes,50,Yes,Entertainment,7,Low,3
467880,Female,Yes,45,Yes,Artist,1,Average,2
460216,Female,No,62,No,Entertainment,2,Low,1
467941,Female,No,27,Yes,Doctor,1,Low,3
466090,Male,Yes,57,Yes,Entertainment,1,Low,
462572,Female,Yes,30,No,Engineer,1,Average,7
467443,Male,No,32,No,Healthcare,7,Low,4
462548,Male,No,18,,Executive,,Low,5
459701,Male,No,47,No,Artist,3,Low,3
461139,Female,No,32,Yes,Artist,4,Low,4
461115,Female,Yes,32,No,Engineer,5,Low,3
459027,Male,Yes,67,Yes,Doctor,1,Average,4
467340,Female,Yes,77,Yes,Lawyer,0,High,2
461410,Male,Yes,79,No,,0,Average,2
460857,Male,No,31,No,Entertainment,1,Low,1
464300,Male,Yes,42,Yes,Artist,0,Low,3
460532,Female,No,18,No,,0,Low,6
463287,Male,Yes,50,Yes,Artist,1,Average,4
461392,Male,Yes,71,Yes,Artist,0,Average,5
461546,Female,Yes,72,No,Lawyer,1,Low,3
467780,Male,Yes,47,Yes,Artist,,Low,3
462130,Male,Yes,45,Yes,Artist,9,Average,2
464684,Female,No,40,No,Engineer,9,Low,5
462276,Female,No,36,Yes,Engineer,4,Low,1
462142,Female,No,42,Yes,Artist,,Low,1
462417,Male,No,30,No,Healthcare,4,Low,4
466463,Female,No,29,Yes,Healthcare,2,Low,4
464736,Male,No,28,Yes,Engineer,0,Low,5
467520,Male,,22,No,Healthcare,,Low,2
459835,Male,Yes,85,No,Lawyer,,Low,1
463855,Female,Yes,40,Yes,Artist,1,Average,2
460344,Female,Yes,52,Yes,Artist,14,Average,2
466211,Male,Yes,47,Yes,Artist,0,Low,
460139,Male,No,26,No,Artist,6,Low,6
464126,Female,No,55,Yes,Marketing,3,Low,1
461286,Female,No,20,No,Doctor,4,Low,4
461621,Female,Yes,87,Yes,Lawyer,0,High,2
460163,Male,No,28,No,Healthcare,0,Low,2
461958,Male,No,38,No,Artist,2,Low,2
464875,Male,Yes,42,No,Entertainment,1,Low,2
464791,Male,Yes,42,No,Marketing,0,High,6
464579,Female,No,29,No,Engineer,1,Low,4
463531,Male,No,32,Yes,Doctor,0,Low,4
462651,Male,Yes,38,No,Executive,,High,5
465486,Female,Yes,59,No,Artist,1,High,2
460882,Male,No,22,No,Healthcare,0,Low,2
467162,Female,No,26,No,Homemaker,9,Low,
461298,Female,Yes,78,Yes,Artist,1,High,2
461595,Female,No,32,Yes,Healthcare,0,Low,3
459260,Male,Yes,37,Yes,Artist,0,Average,4
462772,Male,Yes,37,Yes,Healthcare,1,High,4
462941,Male,No,67,No,Lawyer,,Low,2
459143,Male,Yes,47,No,Artist,0,High,4
464532,Female,Yes,68,Yes,Lawyer,0,High,2
460056,Male,No,30,Yes,Healthcare,3,Low,5
466761,Female,Yes,48,Yes,Entertainment,2,Low,1
465469,Female,No,43,Yes,Artist,6,Low,1
461886,Male,Yes,33,Yes,Healthcare,9,Low,2
465680,Male,Yes,31,No,Healthcare,0,Average,5
459316,Male,Yes,32,Yes,Healthcare,1,Low,2
465609,Female,No,21,No,Healthcare,1,Low,4
467009,Female,No,29,No,Homemaker,2,Low,4
461766,Female,Yes,35,Yes,Artist,1,Low,2
464938,Male,Yes,46,No,Artist,0,Low,3
462034,Female,Yes,38,Yes,Artist,9,High,2
464049,Female,No,32,Yes,Healthcare,1,Low,3
467925,Female,No,28,Yes,Artist,3,Low,7
463711,Female,Yes,68,Yes,Lawyer,3,Low,1
463846,Female,Yes,45,Yes,Artist,4,Low,1
462064,Male,Yes,58,Yes,Artist,0,Average,3
463249,Male,No,28,No,Entertainment,1,Low,2
464217,Female,No,32,No,Healthcare,12,Low,3
463378,Male,No,30,Yes,Doctor,1,Low,1
463035,Female,Yes,42,No,Homemaker,3,Average,4
459656,Male,No,22,No,,,Low,6
463114,Male,No,41,Yes,Artist,,Low,3
465309,Female,No,18,No,Healthcare,6,Low,4
462688,Female,Yes,29,Yes,Healthcare,8,Low,3
459255,Female,No,33,Yes,Healthcare,0,Low,3
467385,Male,No,47,No,Artist,1,Low,
467492,Female,Yes,57,Yes,Doctor,1,Low,2
460789,Male,Yes,36,Yes,Executive,1,Low,3
467307,Male,Yes,57,Yes,Executive,1,High,3
464026,Male,No,18,No,Healthcare,1,Low,2
464645,Male,,52,Yes,Artist,1,Average,5
462493,Male,Yes,52,Yes,Artist,1,Average,6
460685,Male,No,51,,Artist,6,Low,4
460452,Female,Yes,37,Yes,Entertainment,0,Average,2
459322,Male,No,36,Yes,Marketing,0,Low,1
464066,Female,No,29,Yes,Healthcare,9,Low,3
461114,Male,Yes,45,Yes,Artist,1,Average,4
465165,Male,No,61,Yes,Artist,0,Low,1
464526,Male,Yes,52,Yes,Entertainment,1,Average,4
460666,Female,Yes,49,Yes,Homemaker,14,Low,1
465417,Male,Yes,40,Yes,Entertainment,,Average,2
464096,Female,No,31,No,Healthcare,1,Low,5
464891,Male,Yes,42,No,Entertainment,1,Low,3
460107,Male,Yes,51,Yes,Engineer,1,Average,5
467708,Female,No,42,Yes,Healthcare,8,Low,1
461873,Male,No,29,Yes,Doctor,1,Low,4
465181,Female,No,33,Yes,Healthcare,8,Low,1
467204,Male,No,27,Yes,Healthcare,,Low,3
467320,Female,No,21,No,Healthcare,0,Low,4
459468,Male,Yes,35,No,Artist,9,Average,3
467316,Female,No,42,Yes,Doctor,0,Low,1
466182,Female,No,41,Yes,Artist,2,Low,1
463757,Male,No,39,Yes,Artist,0,Low,3
462314,Female,No,28,No,Doctor,14,Low,1
466392,Female,Yes,45,Yes,Engineer,3,Average,
466652,Female,Yes,61,Yes,Doctor,1,Average,2
461664,Male,Yes,62,Yes,Artist,0,Average,4
