vendor,profit_outlier_capped
Accenco,4.4685
Accenco,-2.3136
Accenco,11.88
Accenco,7.056
Accenco,133.02
Accenco,-25.656
Accenco,7.44
Accenco,0.96
Accenco,11.6
Accenco,4.56
Accenco,2.04
Accenco,9.38
Accenco,2.22
Accenco,104.296
Accenco,6.24
Accenco,11.22
Accenco,1.38
Accenco,14.7184
Accenco,20.6816
Accenco,85.9818
Accenco,-47.568000000000005
Accenco,4.68
Accenco,14.44
Accenco,5.4079999999999995
Accenco,-144.63594
Accenco,-144.63594
Accenco,2.376
Accenco,6.372000000000001
Accenco,2.82
Accenco,32.76
Accenco,0.424
Accenco,1.6
Accenco,5.32
Accenco,0.98
Accenco,18.6624
Accenco,7.2
Accenco,12.8184
Accenco,-16.896
Accenco,16.4
Accenco,32.94
Accenco,1.9629
Accenco,14.58
Accenco,-12.12
Accenco,9.488
Accenco,9.48
Accenco,7.76
Accenco,11.325
Accenco,2.7072
Accenco,30.7872
Accenco,93.884
Accenco,2.8160000000000003
Accenco,5.44
Accenco,17.84
Accenco,16.32
Accenco,4.98
Accenco,12.78
Accenco,0.0
Accenco,1.44
Accenco,20.928
Accenco,224.96
Accenco,30.48
Accenco,5.52
Accenco,5.76
Accenco,11.76
Accenco,16.12
Accenco,4.64
Accenco,33.24
Accenco,4.14
Accenco,-124.74
Accenco,14.08
Accenco,21.44
Accenco,157.3632
Accenco,4.2717
Accenco,13.8
Accenco,-10.02
Accenco,53.52
Accenco,-0.9359999999999999
Accenco,8.28
Accenco,25.824
Accenco,0.0
Accenco,1.8144
Accenco,-0.41200000000000003
Accenco,40.62
Accenco,5.4432
Accenco,1.8354
Accenco,9.6
Accenco,12.96
Accenco,4.2
Accenco,0.0
Accenco,6.0382
Accenco,10.22
Accenco,3.3
Accenco,8.464
Accenco,-2.112
Accenco,1.26
Accenco,3.6288
Accenco,84.9436
Accenco,20.72
Accenco,242.16
Accenco,9.0
Accenco,6.04
Accenco,0.1512
Accenco,70.1784
Accenco,6.12
Accenco,3.16
Accenco,-6.752000000000001
Accenco,-4.8
Accenco,-5.327999999999999
Accenco,-2.54
Accenco,8.1
Accenco,15.36
Accenco,145.2816
Accenco,28.42
Accenco,299.44
Accenco,3.28
Accenco,4.544
Accenco,1.5919999999999999
Accenco,4.94
Accenco,-4.408
Accenco,8.64
Accenco,-7.6160000000000005
Accenco,0.8
Accenco,64.12
Accenco,12.335999999999999
Accenco,10.5
Accenco,-5.263999999999999
Accenco,3.2
Accenco,13.524000000000001
Accenco,-7.4879999999999995
Accenco,284.98
Accenco,5.04
Accenco,3.84
Accenco,5.4432
Accenco,45.8
Accenco,20.28
Accenco,12.84
Accenco,13.44
Accenco,0.64
Accenco,3.2214
Accenco,8.58
Accenco,16.88
Accenco,1.76
Accenco,23.235
Accenco,-4.4946
Accenco,41.64
Accenco,5.8
Accenco,6.64
Accenco,223.548
Accenco,-52.5481
Accenco,56.98
Accenco,-17.16
Accenco,3.42
Accenco,6.12
Accenco,-7.38
Accenco,22.68
Accenco,4.62
Accenco,36.3
Accenco,19.435
Accenco,0.7728
Accenco,5.8233
Accenco,18.8
Accenco,8.1
Accenco,17.116
Accenco,188.2192
Accenco,0.0
Accenco,-2.352
Accenco,8.7
Accenco,6.46
Accenco,-144.63594
Accenco,59.6
Accenco,2.82
Accenco,1.288
Accenco,-7.98
Accenco,1.536
Accenco,-36.608000000000004
Accenco,1.624
Accenco,2.48
Accenco,-22.836
Accenco,-33.8418
Accenco,7.6
Accenco,12.24
Accenco,8.32
Accenco,3.96
Accenco,2.6964
Accenco,0.2
Accenco,35.0
Accenco,-4.6464
Accenco,-11.52
Accenco,2.6892
Accenco,7.4816
Accenco,1.002
Accenco,18.08
Accenco,5.32
Accenco,9.8
Accenco,-4.104
Accenco,17.34
Accenco,130.26
Accenco,10.8966
Accenco,-2.772
Accenco,-5.76
Accenco,4.32
Accenco,8.16
Accenco,3.3
Accenco,19.44
Accenco,5.6160000000000005
Accenco,12.6927
Accenco,4.8924
Accenco,30.6054
Accenco,13.7862
Accenco,-29.94
Accenco,8.6016
Accenco,6.5520000000000005
Accenco,-13.376
Accenco,10.72
Accenco,0.82
Accenco,84.88
Accenco,14.96
Accenco,23.212
Accenco,1.962
Accenco,1.3728
Accenco,22.0158
Accenco,11.52
Accenco,11.46
Accenco,1.64
Accenco,40.02
Accenco,9.5616
Accenco,-24.5
Accenco,10.32
Accenco,13.96
Accenco,2.76
Accenco,-7.188
Accenco,1.28
Accenco,-11.472000000000001
Accenco,4.56
Accenco,25.32
Accenco,16.6568
Accenco,31.92
Accenco,13.98
Accenco,34.3548
Accenco,43.736000000000004
Accenco,22.3734
Accenco,18.12
Accenco,7.04
Accenco,4.96
Accenco,75.72800000000001
Accenco,1.02
Accenco,85.28
Accenco,1.6
Accenco,56.2032
Accenco,8.0352
Accenco,10.12
Accenco,40.104
Accenco,23.38
Accenco,28.38
Accenco,9.12
Accenco,4.8
Accenco,64.44
Accenco,1.42
Accenco,2.16
Accenco,16.56
Accenco,75.6
Accenco,5.2
Accenco,8.4
Accenco,32.64
Accenco,217.1
Accenco,3.9609
Accenco,14.4
Accenco,7.96
Accenco,-45.396
Accenco,-2.648
Accenco,3.42
Accenco,-4.312
Accenco,10.96
Accenco,13.94
Accenco,15.82
Accenco,6.4128
Accenco,11.7782
Accenco,11.9
Accenco,2.8
Accenco,12.0
Accenco,32.56
Accenco,6.96
Accenco,12.864
Accenco,34.7
Accenco,1.96
Accenco,3.4
Accenco,8.7906
Accenco,21.228
Accenco,3.32
Accenco,-2.088
Accenco,17.108
Accenco,9.18
Accenco,3.4357
Accenco,94.2784
Accenco,23.235
Accenco,0.0
Accenco,-13.824000000000002
Accenco,4.04
Accenco,10.32
Accenco,6.98
Accenco,5.2
Accenco,29.2
Accenco,1.88
Accenco,-19.136
Accenco,79.8
Accenco,2.4
Accenco,3.72
Accenco,23.04
Accenco,0.672
Accenco,4.208
Accenco,18.592
Accenco,-22.16
Accenco,12.06
Accenco,34.02
Accenco,12.36
Accenco,13.96
Accenco,38.7
Accenco,19.6328
Accenco,-12.32
Accenco,-11.376
Accenco,-12.4
Accenco,31.9
Accenco,-40.44
Accenco,12.4
Accenco,11.4
Accenco,2.0358
Accenco,1.8207
Accenco,-19.1058
Accenco,0.92
Accenco,35.64
Accenco,-54.882
Accenco,-10.344000000000001
Accenco,-13.18
Accenco,20.1
Accenco,-66.408
Accenco,14.2758
Accenco,-1.232
Accenco,20.5842
Accenco,19.62
Accenco,12.0
Accenco,-4.248
Accenco,20.155
Accenco,9.06
Accenco,23.84
Accenco,4.9686
Accenco,144.5157
Accenco,87.7578
Accenco,3.64
Accenco,12.78
Accenco,2.1
Accenco,208.6
Accenco,123.3
Accenco,-7.34
Accenco,-35.064
Accenco,6.84
Accenco,3.52
Accenco,26.82
Accenco,3.08
Accenco,9.2178
Accenco,75.84
Accenco,-27.6
Accenco,11.88
Accenco,10.32
Accenco,-1.0959999999999999
Accenco,11.0
Accenco,24.96
Accenco,9.32
Accenco,47.44
Accenco,-3.2880000000000003
Accenco,31.8696
Accenco,6.2208
Accenco,28.0032
Accenco,14.76
Accenco,28.0
Accenco,93.44
Accenco,4.76
Accenco,5.12
Accenco,31.12
Accenco,2.32
Accenco,0.08
Accenco,-14.24
Accenco,17.58
Accenco,69.1992
Accenco,54.215
Accenco,7.44
Accenco,6.56
Accenco,17.6
Accenco,0.24
Accenco,4.88
Accenco,54.3
Accenco,3.68
Accenco,-1.4280000000000002
Accenco,8.64
Accenco,1.62
Accenco,-102.95200000000001
Accenco,4.1148
Accenco,8.3328
Accenco,23.9463
Accenco,12.64
Accenco,4.16
Accenco,24.96
Accenco,8.2156
Accenco,6.84
Accenco,-11.424000000000001
Accenco,36.88
Accenco,24.96
Accenco,179.8
Accenco,5.544
Accenco,18.92
Accenco,152.0232
Accenco,4.2336
Accenco,9.63
Accenco,6.7236
Accenco,-38.256
Accenco,0.28
Accenco,1.96
Accenco,10.1
Accenco,-55.032
Accenco,9.06
Accenco,4.32
Accenco,18.8784
Accenco,2.928
Accenco,10.68
Accenco,0.0
Accenco,30.72
Accenco,15.78
Accenco,14.0
Accenco,5.88
Accenco,10.236
Accenco,11.375
Accenco,16.44
Accenco,2.72
Accenco,37.7
Accenco,3.8280000000000003
Accenco,12.36
Accenco,1.86
Accenco,59.4355
Accenco,18.72
Accenco,3.52
Accenco,-10.872
Accenco,-18.195999999999998
Accenco,90.588
Accenco,50.5848
Accenco,83.7
Accenco,-44.52
Accenco,1.12
Accenco,12.08
Accenco,-2.352
Accenco,3.42
Accenco,11.64
Accenco,10.880999999999998
Accenco,16.66
Accenco,15.52
Accenco,11.2224
Accenco,35.0244
Accenco,71.12
Accenco,7.8
Accenco,55.04
Accenco,10.92
Accenco,1.6
Accenco,-55.032
Accenco,6.0
Accenco,5.4
Accenco,14.9156
Accenco,4.08
Accenco,9.52
Accenco,0.16
Accenco,4.3584
Accenco,-67.851
Accenco,11.08
Accenco,7.52
Accenco,-1.344
Accenco,4.692
Accenco,-44.8
Accenco,4.58
Accenco,-9.024
Accenco,21.1
Accenco,16.3
Accenco,-0.048
Accenco,1.999
Accenco,6.496
Accenco,-1.584
Accenco,28.8
Accenco,18.92
Accenco,32.32
Accenco,114.0
Accenco,1.9
Accenco,14.6264
Accenco,3.72
Accenco,2.72
Accenco,31.32
Accenco,0.0
Accenco,1.6704
Accenco,0.0
Accenco,26.72
Accenco,86.56
Accenco,11.2
Accenco,113.211
Accenco,0.28
Accenco,5.9211
Accenco,12.1352
Accenco,10.2245
Accenco,-5.784
Accenco,3.12
Accenco,30.3
Accenco,31.6
Accenco,10.8
Accenco,-5.056
Accenco,7.7
Accenco,13.04
Accenco,-4.8
Accenco,175.5156
Accenco,7.4824
Accenco,42.06
Accenco,76.7
Accenco,5.88
Accenco,-2.97
Accenco,23.84
Accenco,9.78
Accenco,34.181999999999995
Accenco,3.42
Accenco,7.44
Accenco,-0.212
Accenco,15.5344
Accenco,10.64
Accenco,9.8901
Accenco,9.158
Accenco,12.9129
Accenco,9.06
Accenco,44.88
Accenco,50.64
Accenco,19.44
Accenco,33.7212
Accenco,13.128
Accenco,69.4
Accenco,24.64
Accenco,16.12
Accenco,8.64
Accenco,3.6588
Accenco,-10.0372
Accenco,0.0
Accenco,21.6
Accenco,17.52
Accenco,67.84
Accenco,19.4
Accenco,4.98
Accenco,51.36
Accenco,0.72
Accenco,-21.608
Accenco,2.3976
Accenco,-33.6
Accenco,-32.208
Accenco,27.9
Accenco,1.68
Accenco,-3.8385
Accenco,8.76
Accenco,7.02
Accenco,301.97196
Accenco,2.16
Accenco,13.0928
Accenco,7.58
Accenco,0.2
Accenco,9.36
Accenco,9.3312
Accenco,0.24
Accenco,2.448
Accenco,3.66
Accenco,10.36
Accenco,1.52
Accenco,8.7
Accenco,1.032
Accenco,12.14
Accenco,41.232
Accenco,29.04
Accenco,1.0731
Accenco,240.5648
Accenco,2.1684
Accenco,7.7
Accenco,-0.036000000000000004
Accenco,-17.008
Accenco,1.3230000000000002
Accenco,-4.0158
Accenco,-3.7296
Accenco,8.8
Accenco,3.3360000000000003
Accenco,61.08
Accenco,7.84
Accenco,1.2
Accenco,31.4712
Accenco,0.54
Accenco,4.08
Accenco,-38.184
Accenco,2.2
Accenco,-33.264
Accenco,56.352
Accenco,-3.0366
Accenco,-14.472000000000001
Accenco,12.4
Accenco,5.956
Accenco,3.8
Accenco,-115.7156
Accenco,7.28
Accenco,-11.915999999999999
Accenco,0.3
Accenco,1.92
Accenco,1.68
Accenco,240.8595
Accenco,3.3948
Accenco,5.2
Accenco,9.68
Accenco,0.9952
Accenco,16.78
Accenco,-6.007999999999999
Accenco,27.58
Accenco,3.68
Accenco,15.6
Accenco,2.24
Accenco,4.57
Accenco,1.2
Accenco,6.0
Accenco,-0.012
Accenco,9.2
Accenco,26.56
Accenco,4.5
Accenco,7.1022
Accenco,-5.72
Accenco,24.0688
Accenco,57.3212
Accenco,6.862
Accenco,4.1
Accenco,11.628
Accenco,1.96
Accenco,0.0
Accenco,1.672
Accenco,67.36
Accenco,36.24
Accenco,4.14
Accenco,25.3
Accenco,4.3
Accenco,35.728
Accenco,9.5172
Accenco,3.5
Accenco,-3.8080000000000003
Accenco,20.16
Accenco,3.28
Accenco,-8.152000000000001
Accenco,13.32
Accenco,22.8
Accenco,13.44
Accenco,3.0
Accenco,18.54
Accenco,3.0
Accenco,4.992
Accenco,14.4
Accenco,7.08
Accenco,28.38
Accenco,10.26
Accenco,11.36
Accenco,10.0282
Accenco,87.2842
Accenco,0.72
Accenco,6.48
Accenco,-24.64
Accenco,3.48
Accenco,18.6606
Accenco,6.975
Accenco,81.1
Accenco,57.4
Accenco,27.24
Accenco,199.02
Accenco,-5.76
Accenco,2.58
Accenco,5.3703
Accenco,49.9704
Accenco,102.6
Accenco,-5.072
Accenco,5.7312
Accenco,-21.644000000000002
Accenco,10.68
Accenco,0.0
Accenco,26.6
Accenco,-22.671999999999997
Accenco,2.64
Accenco,4.0
Accenco,126.4
Accenco,5.44
Accenco,4.0
Accenco,1.9080000000000001
Accenco,3.8073
Accenco,9.072000000000001
Accenco,20.352
Accenco,-0.07200000000000001
Accenco,12.0
Accenco,20.5
Accenco,4.0
Accenco,4.7
Accenco,5.32
Accenco,1.92
Accenco,36.4
Accenco,15.984000000000002
Accenco,20.352
Accenco,25.32
Accenco,1.68
Accenco,82.04
Accenco,56.676
Accenco,32.88
Accenco,35.1
Accenco,35.5
Accenco,6.84
Accenco,1.2
Accenco,6.04
Accenco,2.22
Accenco,-4.66
Accenco,46.1184
Accenco,301.968
Accenco,-3.5508
Accenco,19.92
Accenco,1.24
Accenco,22.9
Accenco,21.96
Accenco,37.52
Accenco,7.9527
Accenco,5.3392
Accenco,290.3016
Accenco,4.2
Accenco,-10.6176
Accenco,6.3612
Accenco,-51.8272
Accenco,0.8
Accenco,3.06
Accenco,5.34
Accenco,0.5584
Accenco,-4.9128
Accenco,76.5583
Accenco,9.2556
Accenco,49.38
Accenco,4.96
Accenco,5.784
Accenco,14.4
Accenco,-1.992
Accenco,54.6912
Accenco,16.14
Accenco,229.2
Accenco,2.2512
Accenco,15.552
Accenco,12.72
Accenco,141.17600000000002
Accenco,0.34
Accenco,54.88
Accenco,6.06
Accenco,2.38
Accenco,1.42
Accenco,12.42
Accenco,1.76
Accenco,10.02
Accenco,142.32
Accenco,7.2177
Accenco,9.12
Accenco,0.56
Accenco,0.0
Accenco,10.26
Accenco,69.96
Accenco,10.26
Accenco,31.5372
Accenco,108.04799999999999
Accenco,24.08
Accenco,0.0
Accenco,18.16
Accenco,75.76
Accenco,39.84
Accenco,7.44
Accenco,-9.107999999999999
Accenco,6.4
Accenco,9.92
Accenco,4.308
Accenco,-8.863999999999999
Accenco,-5.38
Accenco,0.36
Accenco,4.3
Accenco,-0.9840000000000001
Accenco,21.52
Accenco,0.32
Accenco,-0.9840000000000001
Accenco,20.024
Accenco,0.688
Accenco,33.9
Accenco,64.0
Accenco,21.72
Accenco,1.02
Accenco,8.44
Accenco,2.2
Accenco,-144.63594
Accenco,53.648
Accenco,180.1
Accenco,-0.14800000000000002
Accenco,11.46
Accenco,16.88
Accenco,18.92
Accenco,46.368
Accenco,12.64
Accenco,7.88
Accenco,45.6
Accenco,19.12
Accenco,-73.577
Accenco,-5.172000000000001
Accenco,6.6584
Accenco,41.58
Accenco,34.86
Accenco,-18.828
Accenco,8.272
Accenco,11.76
Accenco,28.42
Accenco,-2.6208
Accenco,-1.416
Accenco,119.84
Accenco,1.8
Accenco,13.48
Accenco,14.88
Accenco,40.9216
Accenco,7.0
Accenco,16.7328
Accenco,274.491
Accenco,3.0084
Accenco,45.52
Accenco,56.301
Accenco,301.97196
Accenco,8.64
Accenco,0.6
Accenco,-2.7760000000000002
Accenco,35.58
Accenco,-29.16
Accenco,5.16
Accenco,9.3312
Accenco,22.44
Accenco,25.3
Accenco,0.0
Accenco,-1.652
Accenco,4.44
Accenco,11.4
Accenco,24.42
Accenco,40.3536
Accenco,30.2112
Accenco,8.1
Accenco,-2.62
Accenco,-0.96
Accenco,18.78
Accenco,6.06
Accenco,-2.6319999999999997
Accenco,-25.768
Accenco,2.08
Accenco,11.4
Accenco,41.92
Accenco,9.28
Accenco,1.64
Accenco,35.1
Accenco,34.56
Accenco,11.6
Accenco,4.1988
Accenco,3.7408
Accenco,13.96
Accenco,-18.904
Accenco,0.96
Accenco,2.5164
Accenco,62.1376
Accenco,-3.2310000000000003
Accenco,1.5919999999999999
Accenco,24.88
Accenco,99.48
Accenco,9.18
Accenco,0.72
Accenco,6.3504
Accenco,1.14
Accenco,6.96
Accenco,15.12
Accenco,16.56
Accenco,10.02
Accenco,-8.6457
Accenco,14.547
Accenco,17.9
Accenco,-55.623999999999995
Accenco,71.2296
Accenco,7.8
Accenco,1.38
Accenco,5.2
Accenco,181.62
Accenco,-0.648
Accenco,-144.63594
Accenco,-25.188000000000002
Accenco,6.4584
Accenco,19.035
Accenco,-14.86
Accenco,21.608
Accenco,1.38
Accenco,26.82
Accenco,5.44
Accenco,5.34
Accenco,2.56
Accenco,35.16
Accenco,9.24
Accenco,11.2
Accenco,10.517999999999999
Accenco,46.11600000000001
Accenco,4.8118
Accenco,-5.016
Accenco,22.2
Accenco,-10.9188
Accenco,-9.456
Accenco,126.4
Accenco,1.6356
Accenco,5.2398
Accenco,-2.24
Accenco,-8.432
Accenco,6.63
Accenco,4.4
Accenco,15.92
Accenco,7.104
Accenco,-40.384
Accenco,41.4276
Accenco,6.24
Accenco,0.5
Accenco,21.9
Accenco,7.32
Accenco,9.798
Accenco,12.2
Accenco,12.2
Accenco,15.9348
Accenco,0.504
Accenco,-1.0490000000000002
Accenco,14.88
Accenco,14.5614
Accenco,-2.8560000000000003
Accenco,0.18
Accenco,4.5
Accenco,3.78
Accenco,17.055999999999997
Accenco,4.68
Accenco,4.32
Accenco,-8.424
Accenco,-9.212
Accenco,-2.2680000000000002
Accenco,96.84
Accenco,24.42
Accenco,75.096
Accenco,-2.245
Accenco,25.68
Accenco,-22.26
Accenco,-5.124
Accenco,-4.5360000000000005
Accenco,6.48
Accenco,14.56
Accenco,15.8496
Accenco,-1.672
Accenco,7.5762
Accenco,62.321000000000005
Accenco,7.4824
Accenco,-0.632
Accenco,-13.572000000000001
Accenco,16.9
Accenco,0.0
Accenco,-6.247999999999999
Accenco,0.0
Accenco,27.44
Accenco,172.4814
Accenco,-7.32
Accenco,9.3504
Accenco,29.691999999999997
Accenco,28.8
Accenco,11.76
Accenco,28.28
Accenco,1.78
Accenco,-0.37200000000000005
Accenco,1.64
Accenco,-1.1320000000000001
Accenco,51.4
Accenco,2.46
Accenco,-1.828
