SKU ID,Date,Manufacturer,Sector,Category,Segment,Brand,Revenue($),Units_sold,Page_traffic
SKU1038,7/17/2021,Synergix solutions ,Oral Care,Toothpaste,Sensitivity Toothpaste,Colgate,15019,1070,5808
SKU1057,12/18/2021,Synergix solutions ,Oral Care,Toothpaste,Fluoride-Free Toothpaste,Tom's of Maine,21228,1306,4275
SKU1015,2/26/2022,Synergix solutions ,Oral Care,Toothpaste,Whitening Toothpaste,Colgate,16957,1105,4189
SKU1028,4/30/2022,Synergix solutions ,Oral Care,Toothpaste,Whitening Toothpaste,Close-up,24651,1483,4601
SKU1033,06-11-22,Synergix solutions ,Oral Care,Toothpaste,Sensitivity Toothpaste,Colgate,32028,1853,5638
SKU1067,11/19/2022,Synergix solutions ,Oral Care,Toothpaste,Fluoride-Free Toothpaste,Himalaya Herbals,38978,1824,5414
SKU1042,12-03-22,Synergix solutions ,Oral Care,Toothpaste,Sensitivity Toothpaste,Sensodyne,33426,1920,6098
SKU1045,01-02-21,Synergix solutions ,Oral Care,Toothpaste,Sensitivity Toothpaste,Sensodyne,12873,620,94
SKU1038,3/13/2021,Synergix solutions ,Oral Care,Toothpaste,Sensitivity Toothpaste,Colgate,10152,564,535
SKU1039,6/26/2021,Synergix solutions ,Oral Care,Toothpaste,Sensitivity Toothpaste,Colgate,17564,1033,752
SKU1053,8/14/2021,Synergix solutions ,Oral Care,Toothpaste,Fluoride-Free Toothpaste,Tom's of Maine,22720,1336,1583
SKU1042,09-04-21,Synergix solutions ,Oral Care,Toothpaste,Sensitivity Toothpaste,Sensodyne,24876,1457,1757
SKU1055,3/26/2022,Synergix solutions ,Oral Care,Toothpaste,Fluoride-Free Toothpaste,Tom's of Maine,27316,1427,3047
SKU1043,06-04-22,Synergix solutions ,Oral Care,Toothpaste,Sensitivity Toothpaste,Sensodyne,31058,1601,2294
SKU1048,06-05-21,Synergix solutions ,Oral Care,Toothpaste,Sensitivity Toothpaste,Sensodyne,0,0,0
SKU1029,8/21/2021,Synergix solutions ,Oral Care,Toothpaste,Whitening Toothpaste,Close-up,0,0,0
SKU1025,10/23/2021,Synergix solutions ,Oral Care,Toothpaste,Whitening Toothpaste,Close-up,0,0,0
SKU1017,3/19/2022,Synergix solutions ,Oral Care,Toothpaste,Whitening Toothpaste,Colgate,0,0,0
SKU1050,5/14/2022,Synergix solutions ,Oral Care,Toothpaste,Sensitivity Toothpaste,Sensodyne,0,0,0
SKU1059,10-01-22,Synergix solutions ,Oral Care,Toothpaste,Fluoride-Free Toothpaste,Tom's of Maine,0,0,0
SKU1056,10/15/2022,Synergix solutions ,Oral Care,Toothpaste,Fluoride-Free Toothpaste,Tom's of Maine,0,0,0
SKU1017,11-05-22,Synergix solutions ,Oral Care,Toothpaste,Whitening Toothpaste,Colgate,0,0,0
SKU1070,11/26/2022,Synergix solutions ,Oral Care,Toothpaste,Fluoride-Free Toothpaste,Himalaya Herbals,0,0,0
SKU1064,01-09-21,Synergix solutions ,Oral Care,Toothpaste,Fluoride-Free Toothpaste,Himalaya Herbals,0,0,0
SKU1066,02-06-21,Synergix solutions ,Oral Care,Toothpaste,Fluoride-Free Toothpaste,Himalaya Herbals,0,0,0
SKU1054,8/14/2021,Synergix solutions ,Oral Care,Toothpaste,Fluoride-Free Toothpaste,Tom's of Maine,0,0,0
SKU1051,10/23/2021,Synergix solutions ,Oral Care,Toothpaste,Fluoride-Free Toothpaste,Tom's of Maine,0,0,0
SKU1049,2/26/2022,Synergix solutions ,Oral Care,Toothpaste,Sensitivity Toothpaste,Sensodyne,0,0,0
SKU1036,3/19/2022,Synergix solutions ,Oral Care,Toothpaste,Sensitivity Toothpaste,Colgate,0,0,0
SKU1049,3/26/2022,Synergix solutions ,Oral Care,Toothpaste,Sensitivity Toothpaste,Sensodyne,0,0,0
SKU1048,5/28/2022,Synergix solutions ,Oral Care,Toothpaste,Sensitivity Toothpaste,Sensodyne,0,0,0
SKU1039,08-06-22,Synergix solutions ,Oral Care,Toothpaste,Sensitivity Toothpaste,Colgate,0,0,0
SKU1045,11-12-22,Synergix solutions ,Oral Care,Toothpaste,Sensitivity Toothpaste,Sensodyne,0,0,0
SKU1021,12-03-22,Synergix solutions ,Oral Care,Toothpaste,Whitening Toothpaste,Close-up,0,0,0
SKU1046,12/24/2022,Synergix solutions ,Oral Care,Toothpaste,Sensitivity Toothpaste,Sensodyne,0,0,0
SKU1034,01-09-21,Synergix solutions ,Oral Care,Toothpaste,Sensitivity Toothpaste,Colgate,34248,1666,1439
SKU1037,3/27/2021,Synergix solutions ,Oral Care,Toothpaste,Sensitivity Toothpaste,Colgate,34753,1527,3575
SKU1063,12-11-21,Synergix solutions ,Oral Care,Toothpaste,Fluoride-Free Toothpaste,Himalaya Herbals,14617,428,769
SKU1036,02-12-22,Synergix solutions ,Oral Care,Toothpaste,Sensitivity Toothpaste,Colgate,11314,332,720
SKU1022,2/26/2022,Synergix solutions ,Oral Care,Toothpaste,Whitening Toothpaste,Close-up,14432,350,738
SKU1036,10/22/2022,Synergix solutions ,Oral Care,Toothpaste,Sensitivity Toothpaste,Colgate,31147,997,2470
SKU1051,01-02-21,Synergix solutions ,Oral Care,Toothpaste,Fluoride-Free Toothpaste,Tom's of Maine,0,0,3116
SKU1017,02-06-21,Synergix solutions ,Oral Care,Toothpaste,Whitening Toothpaste,Colgate,0,0,2650
SKU1025,7/17/2021,Synergix solutions ,Oral Care,Toothpaste,Whitening Toothpaste,Close-up,0,0,0
SKU1040,10/30/2021,Synergix solutions ,Oral Care,Toothpaste,Sensitivity Toothpaste,Colgate,0,0,0
SKU1041,11/20/2021,Synergix solutions ,Oral Care,Toothpaste,Sensitivity Toothpaste,Sensodyne,0,0,0
SKU1012,12/25/2021,Synergix solutions ,Oral Care,Toothpaste,Whitening Toothpaste,Colgate,0,0,0
SKU1042,7/23/2022,Synergix solutions ,Oral Care,Toothpaste,Sensitivity Toothpaste,Sensodyne,0,0,0
SKU1057,11-12-22,Synergix solutions ,Oral Care,Toothpaste,Fluoride-Free Toothpaste,Tom's of Maine,0,0,0
SKU1017,8/28/2021,Synergix solutions ,Oral Care,Toothpaste,Whitening Toothpaste,Colgate,0,0,0
SKU1023,10/23/2021,Synergix solutions ,Oral Care,Toothpaste,Whitening Toothpaste,Close-up,0,0,0
SKU1033,03-05-22,Synergix solutions ,Oral Care,Toothpaste,Sensitivity Toothpaste,Colgate,0,0,0
SKU1033,06-11-22,Synergix solutions ,Oral Care,Toothpaste,Sensitivity Toothpaste,Colgate,0,0,0
SKU1021,03-06-21,Synergix solutions ,Oral Care,Toothpaste,Whitening Toothpaste,Close-up,0,0,0
SKU1054,09-11-21,Synergix solutions ,Oral Care,Toothpaste,Fluoride-Free Toothpaste,Tom's of Maine,0,0,0
SKU1017,10/23/2021,Synergix solutions ,Oral Care,Toothpaste,Whitening Toothpaste,Colgate,0,0,0
SKU1036,11/20/2021,Synergix solutions ,Oral Care,Toothpaste,Sensitivity Toothpaste,Colgate,0,0,0
SKU1030,07-02-22,Synergix solutions ,Oral Care,Toothpaste,Whitening Toothpaste,Close-up,0,0,0
SKU1034,09-10-22,Synergix solutions ,Oral Care,Toothpaste,Sensitivity Toothpaste,Colgate,0,0,0
SKU1042,10/22/2022,Synergix solutions ,Oral Care,Toothpaste,Sensitivity Toothpaste,Sensodyne,0,0,0
SKU1054,10/29/2022,Synergix solutions ,Oral Care,Toothpaste,Fluoride-Free Toothpaste,Tom's of Maine,0,0,0
SKU1046,05-08-21,Synergix solutions ,Oral Care,Toothpaste,Sensitivity Toothpaste,Sensodyne,0,0,0
SKU1026,7/24/2021,Synergix solutions ,Oral Care,Toothpaste,Whitening Toothpaste,Close-up,0,0,0
SKU1024,8/21/2021,Synergix solutions ,Oral Care,Toothpaste,Whitening Toothpaste,Close-up,0,0,0
SKU1051,07-09-22,Synergix solutions ,Oral Care,Toothpaste,Fluoride-Free Toothpaste,Tom's of Maine,0,0,0
SKU1027,10-08-22,Synergix solutions ,Oral Care,Toothpaste,Whitening Toothpaste,Close-up,0,0,0
SKU1029,12/24/2022,Synergix solutions ,Oral Care,Toothpaste,Whitening Toothpaste,Close-up,0,0,0
SKU1052,08-07-21,Synergix solutions ,Oral Care,Toothpaste,Fluoride-Free Toothpaste,Tom's of Maine,0,0,0
SKU1051,11-06-21,Synergix solutions ,Oral Care,Toothpaste,Fluoride-Free Toothpaste,Tom's of Maine,0,0,0
SKU1025,12/18/2021,Synergix solutions ,Oral Care,Toothpaste,Whitening Toothpaste,Close-up,0,0,0
SKU1020,11/26/2022,Synergix solutions ,Oral Care,Toothpaste,Whitening Toothpaste,Colgate,0,0,1447
SKU1035,04-03-21,Synergix solutions ,Oral Care,Toothpaste,Sensitivity Toothpaste,Colgate,32631,1274,4172
SKU1014,09-11-21,Synergix solutions ,Oral Care,Toothpaste,Whitening Toothpaste,Colgate,32295,875,2253
SKU1042,3/26/2022,Synergix solutions ,Oral Care,Toothpaste,Sensitivity Toothpaste,Sensodyne,26075,583,1599
SKU1039,8/27/2022,Synergix solutions ,Oral Care,Toothpaste,Sensitivity Toothpaste,Colgate,33935,993,3513
SKU1052,12/17/2022,Synergix solutions ,Oral Care,Toothpaste,Fluoride-Free Toothpaste,Tom's of Maine,29211,1001,2491
SKU1070,02-06-21,Synergix solutions ,Oral Care,Toothpaste,Fluoride-Free Toothpaste,Himalaya Herbals,25469,1496,4134
SKU1070,5/15/2021,Synergix solutions ,Oral Care,Toothpaste,Fluoride-Free Toothpaste,Himalaya Herbals,18000,1569,2808
SKU1056,10/30/2021,Synergix solutions ,Oral Care,Toothpaste,Fluoride-Free Toothpaste,Tom's of Maine,7580,686,2071
SKU1055,12/18/2021,Synergix solutions ,Oral Care,Toothpaste,Fluoride-Free Toothpaste,Tom's of Maine,21500,1364,2528
SKU1054,03-05-22,Synergix solutions ,Oral Care,Toothpaste,Fluoride-Free Toothpaste,Tom's of Maine,20780,1422,3513
SKU1053,1/23/2021,Synergix solutions ,Oral Care,Toothpaste,Fluoride-Free Toothpaste,Tom's of Maine,0,0,0
SKU1031,06-05-21,Synergix solutions ,Oral Care,Toothpaste,Sensitivity Toothpaste,Colgate,0,0,0
SKU1066,8/28/2021,Synergix solutions ,Oral Care,Toothpaste,Fluoride-Free Toothpaste,Himalaya Herbals,0,0,33
SKU1056,10-02-21,Synergix solutions ,Oral Care,Toothpaste,Fluoride-Free Toothpaste,Tom's of Maine,0,0,0
SKU1032,5/28/2022,Synergix solutions ,Oral Care,Toothpaste,Sensitivity Toothpaste,Colgate,0,0,0
SKU1028,07-02-22,Synergix solutions ,Oral Care,Toothpaste,Whitening Toothpaste,Close-up,0,0,0
SKU1023,10-08-22,Synergix solutions ,Oral Care,Toothpaste,Whitening Toothpaste,Close-up,0,0,0
SKU1031,12/24/2022,Synergix solutions ,Oral Care,Toothpaste,Sensitivity Toothpaste,Colgate,0,0,0
SKU1055,11/13/2021,Synergix solutions ,Oral Care,Toothpaste,Fluoride-Free Toothpaste,Tom's of Maine,21950,1265,5497
SKU1061,11-12-22,Synergix solutions ,Oral Care,Toothpaste,Fluoride-Free Toothpaste,Himalaya Herbals,28488,1592,5892
SKU1027,11-06-21,Synergix solutions ,Oral Care,Toothpaste,Whitening Toothpaste,Close-up,0,0,0
SKU1057,1/22/2022,Synergix solutions ,Oral Care,Toothpaste,Fluoride-Free Toothpaste,Tom's of Maine,0,0,0
SKU1067,02-05-22,Synergix solutions ,Oral Care,Toothpaste,Fluoride-Free Toothpaste,Himalaya Herbals,0,0,0
SKU1019,04-09-22,Synergix solutions ,Oral Care,Toothpaste,Whitening Toothpaste,Colgate,0,0,0
SKU1060,09-10-22,Synergix solutions ,Oral Care,Toothpaste,Fluoride-Free Toothpaste,Tom's of Maine,0,0,0
SKU1066,11-12-22,Synergix solutions ,Oral Care,Toothpaste,Fluoride-Free Toothpaste,Himalaya Herbals,0,0,0
SKU1019,1/23/2021,Synergix solutions ,Oral Care,Toothpaste,Whitening Toothpaste,Colgate,11441,395,1939
SKU1063,8/28/2021,Synergix solutions ,Oral Care,Toothpaste,Fluoride-Free Toothpaste,Himalaya Herbals,24543,787,4300
SKU1051,9/18/2021,Synergix solutions ,Oral Care,Toothpaste,Fluoride-Free Toothpaste,Tom's of Maine,25968,823,4028
SKU1048,10-09-21,Synergix solutions ,Oral Care,Toothpaste,Sensitivity Toothpaste,Sensodyne,19771,635,2623
SKU1058,9/24/2022,Synergix solutions ,Oral Care,Toothpaste,Fluoride-Free Toothpaste,Tom's of Maine,24621,689,1988
SKU1034,09-03-22,Synergix solutions ,Oral Care,Toothpaste,Sensitivity Toothpaste,Colgate,0,0,0
SKU1033,3/27/2021,Synergix solutions ,Oral Care,Toothpaste,Sensitivity Toothpaste,Colgate,29387,1348,4937
SKU1020,10-02-21,Synergix solutions ,Oral Care,Toothpaste,Whitening Toothpaste,Colgate,26851,1670,3737
SKU1011,1/15/2022,Synergix solutions ,Oral Care,Toothpaste,Whitening Toothpaste,Colgate,25569,1159,3260
SKU1034,06-11-22,Synergix solutions ,Oral Care,Toothpaste,Sensitivity Toothpaste,Colgate,24345,1264,4621
SKU1037,10-08-22,Synergix solutions ,Oral Care,Toothpaste,Sensitivity Toothpaste,Colgate,27564,1195,3541
SKU1020,05-08-21,Synergix solutions ,Oral Care,Toothpaste,Whitening Toothpaste,Colgate,31363,1750,3638
SKU1052,7/24/2021,Synergix solutions ,Oral Care,Toothpaste,Fluoride-Free Toothpaste,Tom's of Maine,34240,1491,4732
SKU1060,10/23/2021,Synergix solutions ,Oral Care,Toothpaste,Fluoride-Free Toothpaste,Tom's of Maine,24529,1075,2587
SKU1014,11/13/2021,Synergix solutions ,Oral Care,Toothpaste,Whitening Toothpaste,Colgate,21625,955,1299
SKU1061,11/20/2021,Synergix solutions ,Oral Care,Toothpaste,Fluoride-Free Toothpaste,Himalaya Herbals,23786,1014,2137
SKU1015,12-11-21,Synergix solutions ,Oral Care,Toothpaste,Whitening Toothpaste,Colgate,25260,991,1109
SKU1061,1/29/2022,Synergix solutions ,Oral Care,Toothpaste,Fluoride-Free Toothpaste,Himalaya Herbals,13398,520,1047
SKU1063,04-09-22,Synergix solutions ,Oral Care,Toothpaste,Fluoride-Free Toothpaste,Himalaya Herbals,17344,768,1064
SKU1027,4/16/2022,Synergix solutions ,Oral Care,Toothpaste,Whitening Toothpaste,Close-up,23249,922,1916
SKU1062,10/29/2022,Synergix solutions ,Oral Care,Toothpaste,Fluoride-Free Toothpaste,Himalaya Herbals,21130,573,1482
SKU1048,01-02-21,Synergix solutions ,Oral Care,Toothpaste,Sensitivity Toothpaste,Sensodyne,16778,650,985
SKU1012,4/17/2021,Synergix solutions ,Oral Care,Toothpaste,Whitening Toothpaste,Colgate,20673,902,2055
SKU1068,05-08-21,Synergix solutions ,Oral Care,Toothpaste,Fluoride-Free Toothpaste,Himalaya Herbals,11246,817,2478
SKU1036,5/15/2021,Synergix solutions ,Oral Care,Toothpaste,Sensitivity Toothpaste,Colgate,10626,808,2133
SKU1015,8/14/2021,Synergix solutions ,Oral Care,Toothpaste,Whitening Toothpaste,Colgate,11226,882,3009
SKU1027,12/18/2021,Synergix solutions ,Oral Care,Toothpaste,Whitening Toothpaste,Close-up,19308,1138,3809
SKU1047,5/14/2022,Synergix solutions ,Oral Care,Toothpaste,Sensitivity Toothpaste,Sensodyne,11922,779,3488
SKU1020,5/21/2022,Synergix solutions ,Oral Care,Toothpaste,Whitening Toothpaste,Colgate,13396,831,3927
SKU1023,06-11-22,Synergix solutions ,Oral Care,Toothpaste,Whitening Toothpaste,Close-up,12278,757,4179
SKU1066,7/16/2022,Synergix solutions ,Oral Care,Toothpaste,Fluoride-Free Toothpaste,Himalaya Herbals,13032,726,3590
SKU1045,08-06-22,Synergix solutions ,Oral Care,Toothpaste,Sensitivity Toothpaste,Sensodyne,1510,343,2428
SKU1028,10-08-22,Synergix solutions ,Oral Care,Toothpaste,Whitening Toothpaste,Close-up,12953,894,3092
SKU1013,11-05-22,Synergix solutions ,Oral Care,Toothpaste,Whitening Toothpaste,Colgate,19231,1148,4804
SKU1056,2/13/2021,Synergix solutions ,Oral Care,Toothpaste,Fluoride-Free Toothpaste,Tom's of Maine,23775,953,45
SKU1049,3/27/2021,Synergix solutions ,Oral Care,Toothpaste,Sensitivity Toothpaste,Sensodyne,25850,1034,448
SKU1062,05-01-21,Synergix solutions ,Oral Care,Toothpaste,Fluoride-Free Toothpaste,Himalaya Herbals,26448,1234,1000
SKU1034,1/29/2022,Synergix solutions ,Oral Care,Toothpaste,Sensitivity Toothpaste,Colgate,26128,640,1374
SKU1028,3/19/2022,Synergix solutions ,Oral Care,Toothpaste,Whitening Toothpaste,Close-up,17061,447,928
SKU1056,5/14/2022,Synergix solutions ,Oral Care,Toothpaste,Fluoride-Free Toothpaste,Tom's of Maine,23611,639,1305
SKU1062,5/28/2022,Synergix solutions ,Oral Care,Toothpaste,Fluoride-Free Toothpaste,Himalaya Herbals,23305,523,1138
SKU1031,06-11-22,Synergix solutions ,Oral Care,Toothpaste,Sensitivity Toothpaste,Colgate,20817,550,1186
SKU1065,6/25/2022,Synergix solutions ,Oral Care,Toothpaste,Fluoride-Free Toothpaste,Himalaya Herbals,18400,577,1195
SKU1025,8/13/2022,Synergix solutions ,Oral Care,Toothpaste,Whitening Toothpaste,Close-up,20131,493,1003
SKU1024,03-06-21,Synergix solutions ,Oral Care,Toothpaste,Whitening Toothpaste,Close-up,12649,661,5075
SKU1063,3/27/2021,Synergix solutions ,Oral Care,Toothpaste,Fluoride-Free Toothpaste,Himalaya Herbals,14176,811,4897
SKU1017,7/31/2021,Synergix solutions ,Oral Care,Toothpaste,Whitening Toothpaste,Colgate,25077,1146,5023
SKU1041,10/30/2021,Synergix solutions ,Oral Care,Toothpaste,Sensitivity Toothpaste,Sensodyne,29589,1406,5092
SKU1037,5/14/2022,Synergix solutions ,Oral Care,Toothpaste,Sensitivity Toothpaste,Colgate,22323,892,4666
SKU1029,6/25/2022,Synergix solutions ,Oral Care,Toothpaste,Whitening Toothpaste,Close-up,24359,1012,4923
SKU1012,1/16/2021,Synergix solutions ,Oral Care,Toothpaste,Whitening Toothpaste,Colgate,0,0,0
SKU1042,03-06-21,Synergix solutions ,Oral Care,Toothpaste,Sensitivity Toothpaste,Sensodyne,0,0,0
SKU1057,04-10-21,Synergix solutions ,Oral Care,Toothpaste,Fluoride-Free Toothpaste,Tom's of Maine,0,0,0
SKU1038,10-02-21,Synergix solutions ,Oral Care,Toothpaste,Sensitivity Toothpaste,Colgate,0,0,0
SKU1067,1/29/2022,Synergix solutions ,Oral Care,Toothpaste,Fluoride-Free Toothpaste,Himalaya Herbals,0,0,0
SKU1028,2/26/2022,Synergix solutions ,Oral Care,Toothpaste,Whitening Toothpaste,Close-up,0,0,0
SKU1018,5/21/2022,Synergix solutions ,Oral Care,Toothpaste,Whitening Toothpaste,Colgate,0,0,0
SKU1042,8/20/2022,Synergix solutions ,Oral Care,Toothpaste,Sensitivity Toothpaste,Sensodyne,0,0,0
SKU1014,10/15/2022,Synergix solutions ,Oral Care,Toothpaste,Whitening Toothpaste,Colgate,0,0,0
SKU1066,10/29/2022,Synergix solutions ,Oral Care,Toothpaste,Fluoride-Free Toothpaste,Himalaya Herbals,0,0,0
SKU1062,12/24/2022,Synergix solutions ,Oral Care,Toothpaste,Fluoride-Free Toothpaste,Himalaya Herbals,0,0,0
SKU1061,8/28/2021,Synergix solutions ,Oral Care,Toothpaste,Fluoride-Free Toothpaste,Himalaya Herbals,11612,1171,1933
SKU1065,12-11-21,Synergix solutions ,Oral Care,Toothpaste,Fluoride-Free Toothpaste,Himalaya Herbals,23128,1570,5387
SKU1032,03-05-22,Synergix solutions ,Oral Care,Toothpaste,Sensitivity Toothpaste,Colgate,27124,1638,4775
SKU1024,8/27/2022,Synergix solutions ,Oral Care,Toothpaste,Whitening Toothpaste,Close-up,28602,1428,4678
SKU1023,4/17/2021,Synergix solutions ,Oral Care,Toothpaste,Whitening Toothpaste,Close-up,0,0,0
SKU1033,05-01-21,Synergix solutions ,Oral Care,Toothpaste,Sensitivity Toothpaste,Colgate,0,0,0
SKU1032,06-05-21,Synergix solutions ,Oral Care,Toothpaste,Sensitivity Toothpaste,Colgate,0,0,0
SKU1045,01-01-22,Synergix solutions ,Oral Care,Toothpaste,Sensitivity Toothpaste,Sensodyne,0,0,0
SKU1058,6/18/2022,Synergix solutions ,Oral Care,Toothpaste,Fluoride-Free Toothpaste,Tom's of Maine,0,0,0
SKU1037,9/25/2021,Synergix solutions ,Oral Care,Toothpaste,Sensitivity Toothpaste,Colgate,23188,699,2474
SKU1043,10/16/2021,Synergix solutions ,Oral Care,Toothpaste,Sensitivity Toothpaste,Sensodyne,20720,578,1994
SKU1027,12-04-21,Synergix solutions ,Oral Care,Toothpaste,Whitening Toothpaste,Close-up,28207,1046,2611
SKU1034,1/29/2022,Synergix solutions ,Oral Care,Toothpaste,Sensitivity Toothpaste,Colgate,25076,914,3534
SKU1050,07-09-22,Synergix solutions ,Oral Care,Toothpaste,Sensitivity Toothpaste,Sensodyne,19035,690,2735
SKU1069,12/31/2022,Synergix solutions ,Oral Care,Toothpaste,Fluoride-Free Toothpaste,Himalaya Herbals,20214,989,2483
SKU1065,3/20/2021,Synergix solutions ,Oral Care,Toothpaste,Fluoride-Free Toothpaste,Himalaya Herbals,32681,1465,5134
SKU1016,4/17/2021,Synergix solutions ,Oral Care,Toothpaste,Whitening Toothpaste,Colgate,38136,1643,5700
SKU1069,7/31/2021,Synergix solutions ,Oral Care,Toothpaste,Fluoride-Free Toothpaste,Himalaya Herbals,33325,1176,3478
SKU1024,4/23/2022,Synergix solutions ,Oral Care,Toothpaste,Whitening Toothpaste,Close-up,34315,1171,4138
SKU1014,7/16/2022,Synergix solutions ,Oral Care,Toothpaste,Whitening Toothpaste,Colgate,13282,408,1807
SKU1058,10-08-22,Synergix solutions ,Oral Care,Toothpaste,Fluoride-Free Toothpaste,Tom's of Maine,22155,637,1333
SKU1023,06-05-21,Synergix solutions ,Oral Care,Toothpaste,Whitening Toothpaste,Close-up,0,0,0
SKU1031,7/17/2021,Synergix solutions ,Oral Care,Toothpaste,Sensitivity Toothpaste,Colgate,0,0,0
SKU1013,08-07-21,Synergix solutions ,Oral Care,Toothpaste,Whitening Toothpaste,Colgate,0,0,0
SKU1032,9/25/2021,Synergix solutions ,Oral Care,Toothpaste,Sensitivity Toothpaste,Colgate,0,0,0
SKU1050,03-12-22,Synergix solutions ,Oral Care,Toothpaste,Sensitivity Toothpaste,Sensodyne,0,0,0
SKU1039,3/19/2022,Synergix solutions ,Oral Care,Toothpaste,Sensitivity Toothpaste,Colgate,0,0,0
SKU1038,4/23/2022,Synergix solutions ,Oral Care,Toothpaste,Sensitivity Toothpaste,Colgate,0,0,0
SKU1050,8/27/2022,Synergix solutions ,Oral Care,Toothpaste,Sensitivity Toothpaste,Sensodyne,0,0,0
SKU1067,01-02-21,Synergix solutions ,Oral Care,Toothpaste,Fluoride-Free Toothpaste,Himalaya Herbals,20418,860,4568
SKU1020,06-05-21,Synergix solutions ,Oral Care,Toothpaste,Whitening Toothpaste,Colgate,24569,985,4474
SKU1032,09-04-21,Synergix solutions ,Oral Care,Toothpaste,Sensitivity Toothpaste,Colgate,19469,704,3936
SKU1021,9/25/2021,Synergix solutions ,Oral Care,Toothpaste,Whitening Toothpaste,Close-up,15535,497,3103
SKU1024,10-09-21,Synergix solutions ,Oral Care,Toothpaste,Whitening Toothpaste,Close-up,24796,963,3079
SKU1059,01-08-22,Synergix solutions ,Oral Care,Toothpaste,Fluoride-Free Toothpaste,Tom's of Maine,29294,971,4125
SKU1054,5/21/2022,Synergix solutions ,Oral Care,Toothpaste,Fluoride-Free Toothpaste,Tom's of Maine,30185,954,3436
SKU1059,8/13/2022,Synergix solutions ,Oral Care,Toothpaste,Fluoride-Free Toothpaste,Tom's of Maine,43257,1411,4920
SKU1038,5/15/2021,Synergix solutions ,Oral Care,Toothpaste,Sensitivity Toothpaste,Colgate,0,0,0
SKU1058,10-01-22,Synergix solutions ,Oral Care,Toothpaste,Fluoride-Free Toothpaste,Tom's of Maine,0,0,0
SKU1068,12/31/2022,Synergix solutions ,Oral Care,Toothpaste,Fluoride-Free Toothpaste,Himalaya Herbals,0,0,0
SKU1022,05-01-21,Synergix solutions ,Oral Care,Toothpaste,Whitening Toothpaste,Close-up,0,0,0
SKU1049,9/25/2021,Synergix solutions ,Oral Care,Toothpaste,Sensitivity Toothpaste,Sensodyne,0,0,0
SKU1064,10-02-21,Synergix solutions ,Oral Care,Toothpaste,Fluoride-Free Toothpaste,Himalaya Herbals,0,0,0
SKU1047,04-09-22,Synergix solutions ,Oral Care,Toothpaste,Sensitivity Toothpaste,Sensodyne,0,0,0
SKU1066,4/23/2022,Synergix solutions ,Oral Care,Toothpaste,Fluoride-Free Toothpaste,Himalaya Herbals,0,0,0
SKU1016,5/14/2022,Synergix solutions ,Oral Care,Toothpaste,Whitening Toothpaste,Colgate,0,0,0
SKU1070,7/23/2022,Synergix solutions ,Oral Care,Toothpaste,Fluoride-Free Toothpaste,Himalaya Herbals,0,0,0
